id,token
0,sakshi
1,ki
2,landline
3,mein
4,call
5,karo
6,call
7,karo
8,chacha
9,ko
10,mobile
11,pe
12,dadaji
13,ke
14,mobile
15,pe
16,call
17,karo
18,vinuth
19,ko
20,redial
21,karo
22,mere
23,sasurji
24,ke
25,ghar
26,wale
27,number
28,par
29,abhi
30,ke
31,abhi
32,phone
33,ghumao
34,gudiya
35,ki
36,mobile
37,pe
38,dial
39,karo
40,meri
41,baat
42,karao
43,abhijeet
44,se
45,sim
46,2
47,card
48,use
49,karna
50,mausa
51,ji
52,ko
53,jaldi
54,se
55,ring
56,back
57,karien
58,mujhe
59,sim
60,2
61,se
62,mom
63,ko
64,call
65,karna
66,hain
67,mujhe
68,abhi
69,nani
70,se
71,baat
72,karni
73,hain
74,dadi
75,ke
76,landline
77,number
78,par
79,phone
80,karo
81,phuphi
82,ji
83,ko
84,call
85,karo
86,please
87,varun
88,ko
89,phone
90,lagiyen
91,rasika
92,ke
93,office
94,ke
95,number
96,par
97,call
98,please
99,mujhe
100,angad
101,se
102,baat
103,karni
104,hai
105,baat
106,karao
107,zara
108,sabina
109,se
110,tarun
111,ki
112,durvas
113,yantra
114,mein
115,numbar
116,lagaye
117,nandoi
118,ji
119,ki
120,number
121,miliyen
122,please
123,waseem
124,ko
125,call
126,kariye
127,abhi
128,ke
129,abhi
130,surabhi
131,ki
132,landline
133,mein
134,call
135,back
136,karien
137,is
138,page
139,ki
140,picture
141,click
142,karo
143,is
144,page
145,ka
146,screenshot
147,lene
148,me
149,meri
150,help
151,kar
152,do
153,screenshot
154,lijiye
155,aur
156,gallery
157,mein
158,save
159,kijiye
160,please
161,capture
162,the
163,screen
164,ho
165,sake
166,to
167,is
168,page
169,ka
170,ek
171,screen
172,shot
173,le
174,lo
175,mujhe
176,screenshot
177,chahiye
178,kripaya
179,screenshot
180,khicho
181,kripaya
182,screenshot
183,lijiye
184,kia
185,ye
186,wali
187,screen
188,k
189,chitra
190,khich
191,sakte
192,hain
193,mere
194,phone
195,ke
196,wallpaper
197,ka
198,screenshot
199,lo
200,mere
201,phopne
202,ke
203,page
204,ka
205,screenshot
206,lo
207,screenshot
208,le
209,le
210,ye
211,phone
212,screen
213,ki
214,picture
215,lekar
216,save
217,karo
218,kia
219,screenshot
220,save
221,kar
222,sakte
223,hain
224,screenshot
225,ko
226,lijiye
227,kripaya
228,screenshot
229,lene
230,k
231,baad
232,gallery
233,mein
234,save
235,karen
236,take
237,a
238,picture
239,mere
240,phone
241,ke
242,display
243,page
244,ka
245,screen
246,ka
247,picture
248,ko
249,khicho
250,mere
251,phone
252,pe
253,jo
254,dikh
255,raha
256,hai
257,uska
258,screen
259,shot
260,lo
261,screen
262,ki
263,picture
264,save
265,kijiye
266,wake
267,me
268,up
269,at
270,11
271,pm
272,cinema
273,dekhna
274,hai
275,tv
276,pe
277,please
278,tum
279,ek
280,alarm
281,set
282,karo
283,kal
284,subah
285,11
286,baje
287,ka
288,recharge
289,naam
290,se
291,mujhe
292,30
293,minute
294,mein
295,uthao
296,morning
297,alarm
298,create
299,kar
300,do
301,at
302,6
303,in
304,the
305,morning
306,saas
307,bahu
308,serial
309,wale
310,naam
311,se
312,ek
313,alarm
314,banaiye
315,har
316,guruvaar
317,raat
318,8
319,baje
320,kal
321,5
322,ko
323,tv
324,pe
325,cinema
326,dekhna
327,hain
328,alarm
329,rakho
330,please
331,ek
332,alarm
333,set
334,karke
335,do
336,3
337,baje
338,movie
339,naam
340,se
341,please
342,ek
343,alarm
344,set
345,kar
346,do
347,zara
348,for
349,9
350,pm
351,tomorrow
352,every
353,day
354,8
355,pm
356,alarm
357,bajao
358,gudiya
359,ki
360,dawai
361,ke
362,naam
363,se
364,subah
365,utha
366,dena
367,mujhe
368,4
369,baje
370,mandir
371,jana
372,hai
373,alarm
374,sound
375,karein
376,kal
377,subha
378,10
379,ka
380,cookery
381,show
382,naam
383,rakhlo
384,yoga
385,abhyas
386,ke
387,naam
388,se
389,har
390,tuesday
391,aur
392,thursday
393,05:30
394,pm
395,ka
396,alarm
397,set
398,karein
399,mera
400,exam
401,hai
402,kal
403,subah
404,jaldi
405,utha
406,dena
407,5
408,baje
409,alarm
410,lagao
411,agle
412,hafte
413,wednesday
414,ko
415,06:16
416,par
417,dadu
418,ka
419,physiotherapy
420,ke
421,name
422,se
423,har
424,saturday
425,9
426,am
427,ki
428,alarm
429,set
430,karein
431,mujhe
432,raat
433,ko
434,jaldi
435,khana
436,kha
437,lena
438,hai
439,9
440,baje
441,dinner
442,ka
443,alarm
444,lagao
445,cookery
446,show
447,title
448,pe
449,ek
450,alarm
451,lagao
452,every
453,wednesday
454,at
455,10
456,am
457,subha
458,9
459,baje
460,jaga
461,dena
462,alarm
463,rakhlo
464,parso
465,11
466,baje
467,ka
468,football
469,practice
470,ke
471,naam
472,pe
473,kal
474,subah
475,8
476,baje
477,ka
478,alarm
479,lagao
480,naam
481,wake
482,up
483,rakho
484,act
485,fibernet
486,app
487,chalu
488,karo
489,please
490,google+
491,open
492,kariye
493,launch
494,karo
495,settings
496,ko
497,skype
498,open
499,karne
500,me
501,madad
502,karo
503,phone
504,app
505,shuru
506,karo
507,youtube
508,chalu
509,karo
510,please
511,camera
512,chalu
513,karo
514,alarm
515,set
516,karne
517,ke
518,liye
519,clock
520,app
521,ko
522,launch
523,karo
524,gaana
525,music
526,app
527,launch
528,karne
529,me
530,help
531,karo
532,skype
533,start
534,kar
535,do
536,mujhe
537,samsung
538,notes
539,kholke
540,do
541,facebook
542,dobara
543,open
544,karo
545,samsung
546,health
547,app
548,shuru
549,karo
550,clock
551,app
552,chalu
553,karne
554,mein
555,help
556,karo
557,spotify
558,app
559,suru
560,kijiye
561,dailyhunt
562,app
563,open
564,kijiye
565,mera
566,linkedin
567,app
568,shuru
569,karo
570,kya
571,tum
572,google
573,maps
574,chalu
575,kar
576,sakte
577,ho?
578,mere
579,contacts
580,app
581,open
582,karo
583,samsung
584,notes
585,app
586,ko
587,khol
588,dijiye
589,meri
590,begum
591,ko
592,text
593,bhejein
594,send
595,text
596,meri
597,beti
598,ko
599,that
600,i'm
601,waiting
602,outside
603,college
604,ek
605,sms
606,indrani
607,chauhan
608,ko
609,bhejein
610,nani
611,ki
612,mobile
613,par
614,text
615,karo
616,ki
617,kaal
618,ayunga
619,aapse
620,milne
621,kya
622,mera
623,text
624,bhej
625,doge
626,rishikesh
627,ko?
628,send
629,a
630,message
631,to
632,mummy
633,ki
634,mein
635,ajj
636,jaldi
637,ayunga
638,text
639,mausa
640,ji
641,ki
642,happy
643,new
644,year
645,mujhe
646,ek
647,message
648,bhejna
649,tha
650,jaldi
651,if
652,possible
653,mera
654,ek
655,text
656,bhej
657,do
658,aamir
659,ko
660,ki
661,i'll
662,have
663,to
664,check
665,rashmi
666,chachi
667,ko
668,mera
669,message
670,pahuncha
671,do
672,kaavya
673,ko
674,message
675,bhejo
676,ki
677,i'll
678,be
679,there
680,in
681,five
682,mintues
683,send
684,text
685,meri
686,biwi
687,ko
688,not
689,feeling
690,well
691,so
692,going
693,home
694,bohot
695,wait
696,kar
697,liya
698,ye
699,message
700,bhej
701,do
702,navjot
703,ko
704,send
705,a
706,message
707,didi
708,ko
709,unke
710,ghar
711,ne
712,number
713,par
714,rishi
715,ko
716,ek
717,text
718,send
719,karo
720,ki
721,back
722,in
723,5
724,mins
725,jaldi
726,se
727,ek
728,text
729,send
730,kar
731,do
732,puneet
733,ko
734,ki
735,wo
736,ghar
737,aa
738,jaye
739,aj
740,papa
741,ke
742,liye
743,ek
744,text
745,message
746,choddhein
747,saying
748,tomorrow
749,meeting
750,with
751,client
752,got
753,cancelled
754,party
755,cancel
756,ho
757,gayi
758,karke
759,ek
760,message
761,choddh
762,do
763,group
764,par
765,airtel
766,sim
767,use
768,karke
769,papa
770,ko
771,message
772,bhejo
773,payal
774,ko
775,text
776,send
777,karo
778,to
779,bring
780,the
781,dress
782,from
783,the
784,shop
785,pizza
786,bake
787,hone
788,ke
789,liye
790,set
791,timer
792,for
793,10
794,minutes
795,ek
796,timer
797,to
798,lagiye
799,kripaya
800,4
801,hours
802,25
803,minutes
804,aur
805,15
806,seconds
807,ka
808,timer
809,chalu
810,kijiye
811,timer
812,set
813,kar
814,abi
815,cookie
816,ke
817,naam
818,ka
819,2
820,ghanta
821,ka
822,timer
823,chalu
824,karo
825,doodh
826,garam
827,karne
828,ka
829,timer
830,lagao
831,for
832,5
833,minutes
834,jaldi
835,se
836,mera
837,timer
838,chalo
839,karo
840,for
841,30
842,seconds
843,2
844,minute
845,wala
846,timer
847,laga
848,do
849,for
850,skipping
851,10
852,minute
853,ka
854,timer
855,chalu
856,karo
857,walking
858,naam
859,se
860,kitty
861,nap
862,timer
863,ko
864,chalo
865,karo
866,15
867,minute
868,ke
869,liye
870,chane
871,ki
872,daal
873,pakne
874,ka
875,timer
876,start
877,karo
878,abhi
879,turant
880,veg
881,chowmein
882,ka
883,timer
884,lagao
885,for
886,10
887,minutes
888,test
889,timer
890,chalao
891,bhindi
892,timer
893,start
894,karo
895,start
896,a
897,timer
898,for
899,2
900,hours
901,45
902,minutes
903,ek
904,5
905,minute
906,ka
907,meditation
908,timer
909,start
910,karo
911,sprint
912,timer
913,shuro
914,kijiye
915,crunches
916,timer
917,shuru
918,karo
919,please
920,ek
921,3
922,ghnte
923,ka
924,ginti
925,wali
926,ghari
927,suru
928,kariye
929,mujhe
930,nailpaint
931,naam
932,ka
933,ek
934,timer
935,abi
936,set
937,karke
938,do
939,remind
940,karvayega
941,raat
942,8
943,baje
944,ramayan
945,is
946,on
947,2nd
948,october
949,ko
950,mujhe
951,remind
952,karana
953,ki
954,office
955,outing
956,hai
957,shopping
958,karke
959,ek
960,reminder
961,lagao
962,har
963,subah
964,yoga
965,reminder
966,bana
967,dijiye
968,set
969,an
970,alert
971,for
972,me
973,to
974,remind
975,me
976,about
977,puja
978,ki
979,haldi
980,ceremony
981,at
982,9
983,am
984,kal
985,kya
986,ek
987,reminder
988,set
989,kar
990,sakte
991,ho
992,agle
993,mahine
994,ki
995,2
996,tareekh
997,ka?
998,mujhe
999,ek
1000,reminder
1001,set
1002,karna
1003,hai
1004,dinner
1005,ke
1006,naam
1007,se
1008,kal
1009,7
1010,pm
1011,ke
1012,liye
1013,please
1014,mere
1015,liye
1016,reminder
1017,lagao
1018,ki
1019,office
1020,me
1021,conference
1022,hai
1023,at
1024,4
1025,pm
1026,this
1027,friday
1028,please
1029,ek
1030,reminder
1031,set
1032,karke
1033,dijiye
1034,guddu's
1035,birthday
1036,on
1037,2nd
1038,july
1039,reminder
1040,set
1041,karein
1042,family
1043,game
1044,night
1045,ke
1046,naam
1047,wala
1048,ek
1049,reminder
1050,lagao
1051,every
1052,friday
1053,har
1054,varsh
1055,paanch
1056,july
1057,ko
1058,deshpande
1059,ki
1060,barsi
1061,hai
1062,yaad
1063,rakhiyega
1064,kripaya
1065,mujhe
1066,yaad
1067,dilaye
1068,ki
1069,kal
1070,raat
1071,ko
1072,9
1073,baje
1074,puja
1075,ki
1076,wedding
1077,anniversary
1078,party
1079,hai
1080,kya
1081,tum
1082,mujhe
1083,remind
1084,kara
1085,sakte
1086,ho
1087,ki
1088,maasi
1089,ko
1090,sandesh
1091,bhejna
1092,hai
1093,meeting
1094,ka
1095,9
1096,baje
1097,ka
1098,reminder
1099,lagao
1100,mere
1101,liye
1102,ek
1103,reminder
1104,laga
1105,agle
1106,mahine
1107,ke
1108,liye
1109,at
1110,5
1111,pm
1112,for
1113,travel
1114,to
1115,germany
1116,har
1117,roz
1118,kasrat
1119,karne
1120,ka
1121,reminder
1122,set
1123,karo
1124,2
1125,november
1126,ko
1127,mujhe
1128,yaad
1129,dilana
1130,ki
1131,doctor
1132,appointment
1133,hai
1134,kal
1135,routine
1136,medical
1137,check
1138,up
1139,ke
1140,liye
1141,ek
1142,reminder
1143,lagao
1144,subah
1145,mein
1146,please
1147,ek
1148,bar
1149,reminder
1150,laga
1151,do
1152,raat
1153,ko
1154,dawai
1155,khani
1156,hai
1157,backache
1158,ki
1159,kripaya
1160,243
1161,ko
1162,78
1163,duwara
1164,guna
1165,karien
1166,ninety
1167,percent
1168,of
1169,thirty
1170,five
1171,hundred
1172,ka
1173,value
1174,bata
1175,sakte
1176,ho?
1177,mujhe
1178,calculate
1179,karke
1180,batao
1181,ki
1182,barah
1183,guna
1184,pachas
1185,kitna
1186,hota
1187,hai?
1188,calculator
1189,use
1190,karke
1191,tan
1192,three
1193,sixty
1194,ka
1195,value
1196,pata
1197,karke
1198,batao
1199,289
1200,me
1201,se
1202,10
1203,ko
1204,ghata
1205,karke
1206,batao
1207,1257
1208,and
1209,1400
1210,ka
1211,jodh
1212,calculate
1213,karo
1214,do
1215,duni
1216,char
1217,calculate
1218,kijiiye
1219,pi
1220,ka
1221,value
1222,bataiye
1223,seven
1224,lakh
1225,minus
1226,fifty
1227,five
1228,thousand
1229,ka
1230,value
1231,batadho
1232,cos
1233,three
1234,sixty
1235,degree
1236,ka
1237,value
1238,kya
1239,hai
1240,twenty
1241,two
1242,point
1243,five
1244,ko
1245,seventeen
1246,se
1247,multiply
1248,karo
1249,pi
1250,ki
1251,value
1252,calculate
1253,karke
1254,bata
1255,sakte
1256,ho?
1257,20
1258,lakh
1259,ko
1260,12
1261,se
1262,multiply
1263,karo
1264,to
1265,kya
1266,aata
1267,hai?
1268,one
1269,zero
1270,two
1271,four
1272,ka
1273,square
1274,root
1275,calculate
1276,kar
1277,lo
1278,cube
1279,root
1280,of
1281,21
1282,kitna
1283,hota
1284,hai
1285,please
1286,calculate
1287,karo
1288,32
1289,multiplied
1290,by
1291,358
1292,400
1293,ke
1294,sath
1295,23
1296,jod
1297,ke
1298,bataye
1299,ek
1300,chauthai
1301,guna
1302,teen
1303,chauthai
1304,calculate
1305,kareke
1306,batao
1307,calculator
1308,use
1309,karke
1310,two
1311,to
1312,the
1313,power
1314,of
1315,twenty
1316,two
1317,ka
1318,value
1319,pata
1320,kar
1321,lo
1322,160
1323,ka
1324,10
1325,%
1326,kitna
1327,hua
1328,turant
1329,mere
1330,phone
1331,me
1332,dark
1333,mode
1334,on
1335,karo
1336,blutooth
1337,on
1338,kar
1339,do
1340,mobile
1341,hotspot
1342,kripaya
1343,on
1344,krien
1345,kripaya
1346,flashlight
1347,ko
1348,turn
1349,on
1350,karien
1351,kya
1352,mere
1353,phone
1354,ka
1355,bluetooth
1356,on
1357,hai
1358,bluetooth
1359,ko
1360,sakriya
1361,karein
1362,nfc
1363,ko
1364,on
1365,karna
1366,hai
1367,wifi
1368,ki
1369,on
1370,kare
1371,wi
1372,fi
1373,setting
1374,ko
1375,on
1376,karen
1377,kripaya
1378,do
1379,not
1380,diturb
1381,mode
1382,ko
1383,on
1384,karo
1385,please
1386,torch
1387,on
1388,kia
1389,jai
1390,turn
1391,on
1392,wifi
1393,kya
1394,tum
1395,torch
1396,light
1397,ko
1398,abhi
1399,band
1400,kar
1401,sakte
1402,ho?
1403,mujhe
1404,jaldi
1405,se
1406,bluetooth
1407,on
1408,karke
1409,do
1410,please
1411,sync
1412,on
1413,karen
1414,location
1415,on
1416,hai
1417,kya?
1418,kripaya
1419,power
1420,mode
1421,ko
1422,on
1423,kiya
1424,jai
1425,bluetooth
1426,ko
1427,on
1428,karen
1429,please
1430,turn
1431,nfc
1432,on
1433,kripaya
1434,dark
1435,mode
1436,on
1437,kar
1438,sakte
1439,hain
1440,jitne
1441,bhi
1442,wednesday
1443,ko
1444,aaye
1445,messages
1446,hain
1447,unhe
1448,padhiye
1449,kritika
1450,ke
1451,haal
1452,hi
1453,mein
1454,aaye
1455,message
1456,ko
1457,padho
1458,from
1459,amit's
1460,messages
1461,wo
1462,nikalo
1463,jismein
1464,diwali
1465,word
1466,ho
1467,message
1468,sunao
1469,tum
1470,verma
1471,ji
1472,se
1473,aaya
1474,hua
1475,pehla
1476,message
1477,read
1478,kar
1479,sakte
1480,ho
1481,kya
1482,sanchit
1483,ke
1484,mobile
1485,phone
1486,se
1487,aaya
1488,latest
1489,message
1490,padhiye
1491,meri
1492,student
1493,madhuri
1494,se
1495,jo
1496,message
1497,receive
1498,kia
1499,hai
1500,padh
1501,ke
1502,sunao
1503,pita
1504,ji
1505,ka
1506,latest
1507,message
1508,padh
1509,do
1510,kirti
1511,se
1512,jo
1513,message
1514,aaya
1515,hai
1516,abhi
1517,use
1518,padho
1519,mera
1520,last
1521,bheja
1522,hua
1523,message
1524,read
1525,karo
1526,woh
1527,saare
1528,messages
1529,dikhao
1530,which
1531,has
1532,party
1533,word
1534,in
1535,it
1536,kya
1537,tum
1538,mujhe
1539,bhaskar
1540,ka
1541,wo
1542,message
1543,jismein
1544,usne
1545,discussion
1546,likha
1547,hai
1548,padh
1549,doge
1550,woh
1551,saare
1552,messages
1553,padho
1554,which
1555,has
1556,meeting
1557,word
1558,in
1559,it
1560,from
1561,amit's
1562,messages
1563,wo
1564,messsage
1565,nikalo
1566,jismein
1567,haldi
1568,shabd
1569,ho
1570,sabse
1571,naya
1572,wala
1573,text
1574,message
1575,padho
1576,15
1577,jan
1578,ka
1579,message
1580,read
1581,karo
1582,from
1583,papa
1584,ese
1585,messages
1586,jismein
1587,account
1588,ho
1589,read
1590,those
1591,amit
1592,ke
1593,text
1594,messages
1595,mein
1596,se
1597,wo
1598,wale
1599,nikalo
1600,jinmein
1601,theme
1602,park
1603,ke
1604,baare
1605,mein
1606,baat
1607,hui
1608,hai
1609,tarun
1610,ko
1611,jo
1612,maine
1613,message
1614,send
1615,kiya
1616,tha
1617,padh
1618,do
1619,jo
1620,sabse
1621,aakhiri
1622,message
1623,aaya
1624,hai
1625,from
1626,samir
1627,use
1628,read
1629,kariye
